"Videoanalyse: Tid (s)","Videoanalyse: X (m)","Videoanalyse: Y (m)","Videoanalyse: X-hastighed (m/s)","Videoanalyse: Y-hastighed (m/s)"
4.47,0.135672835131,0.88487379349,0.141150539513,-0.314493307336
4.503,0.139175066563,0.879620446343,0.193528409453,-0.51095553715
4.536,0.146179529426,0.856855942038,0.272958098723,-0.741693341381
4.57,0.15668622372,0.828838090586,0.377352565231,-0.954364287962
4.603,0.170695149447,0.795566891986,0.516769216554,-1.24889557008
4.636,0.18995742232,0.746535651945,0.692021666174,-1.54407295884
4.67,0.216224158056,0.688748833325,0.909202952734,-1.75560273281
4.703,0.24774424094,0.630962014705,1.22238529383,-1.99864396101
4.736,0.295024365266,0.555664038927,1.59952544778,-2.18643579212
4.77,0.356313415318,0.478614947433,1.9361712704,-2.19249130001
4.803,0.424606928233,0.406819203087,2.26695433034,-2.10733827165
4.836,0.510411598305,0.33502345874,2.47960847873,-1.87931388659
4.87,0.589211805514,0.280738871551,2.72594260279,-1.63033406008
4.903,0.689025401313,0.228205400079,3.05468910187,-1.42356758073
4.936,0.795843459975,0.182676391469,3.24122836446,-1.10569270411
4.97,0.911417097215,0.152907424301,3.29106176525,-0.750338313076
5.003,1.01473292445,0.133645151427,3.30573779458,-0.364825674139
5.036,1.12855544597,0.124889572848,3.20676004937,0.185764306813
5.07,1.25638689322,0.130142919996,2.28756021918,1.10860074968
5.103,1.30716924898,0.201938664342,0.622903381765,1.85847550358
5.136,1.28965809182,0.28949445013,-0.847041554516,1.52008182853
5.17,1.23012015748,0.324516764446,-1.63507031945,0.489706325594
5.203,1.15657329742,0.319263417298,-1.55125409167,-0.569835309157
5.236,1.10228871023,0.282489987267,-0.58937099828,-1.41106156156
5.27,1.10228871023,0.208943127205,0.824161697846,-1.66962329833
5.303,1.16707999172,0.14064961429,1.96434434822,-1.05578180031
5.336,1.25813800894,0.137147382859,2.30919304441,-0.350332499362
5.37,1.33343598471,0.138898498574,2.29228075762,-0.143842630639
5.403,1.40698284478,0.133645151427,2.25470602435,-0.108694310643
