"Videoanalyse: Tid (s)","Videoanalyse: X (m)","Videoanalyse: Y (m)","Videoanalyse: X-hastighed (m/s)","Videoanalyse: Y-hastighed (m/s)"
2.142,0.238107865896,0.911141999404,0.0508447006547,-0.214821010213
2.175,0.238107865896,0.907448382726,0.11649899597,-0.357542604882
2.208,0.243648290914,0.892673916013,0.199791171737,-0.55295283356
2.242,0.251825519569,0.871791615782,0.282691163839,-0.794660436434
2.275,0.261090718304,0.84214297983,0.416077346308,-1.12797373175
2.308,0.277768076027,0.797670025902,0.594109356369,-1.46324271254
2.342,0.301857592738,0.740225793745,0.764694805885,-1.692649359
2.375,0.327800149196,0.682781561588,0.980405531815,-1.86378000225
2.408,0.363007904389,0.617925170443,1.29649045708,-2.02864148202
2.442,0.414893017305,0.543803580563,1.6186655358,-2.09961765945
2.475,0.472337249463,0.475241109924,1.92573656638,-2.09630464269
2.508,0.540899720102,0.404825599538,2.2491870384,-2.04402594716
2.542,0.624286508717,0.334410089152,2.52967981346,-1.87297605771
2.575,0.713232416573,0.276965856995,2.73454315853,-1.62046901105
2.608,0.804031364176,0.228786823573,2.95074225118,-1.3827471248
2.642,0.909654629755,0.182460829898,3.18494334426,-1.09297754048
2.675,1.01898397483,0.154665233693,3.37947180996,-0.769920833823
2.708,1.13572547889,0.132428756729,3.42860649512,-0.420658668725
2.742,1.2506139432,0.121310518247,3.28721716407,0.111506439764
2.775,1.38032672549,0.128722677235,2.40329868463,0.920437360627
2.808,1.42850575892,0.184313869645,0.93942211243,1.6052964498
2.842,1.43221183841,0.260288499272,-0.247788006389,1.57956440775
2.875,1.40071016271,0.3047614532,-1.06575557037,1.05953686619
2.908,1.34697201005,0.328850969911,-1.35172484247,0.488730655347
2.942,1.30249905612,0.336263128899,-1.32866530061,-0.0554185941618
2.975,1.25246698295,0.32329185067,-1.07724592538,-0.533159596406
3.008,1.22652442649,0.299202333959,-0.636652379534,-0.938879537013
3.042,1.20799402902,0.260288499272,-0.0999122044264,-1.28081780832
3.075,1.21355314826,0.206550346609,0.605833368031,-1.36620404902
3.108,1.24876090346,0.15651827344,1.25433524115,-1.03413592102
3.142,1.30991121511,0.130575716982,1.54283771865,-0.50138456768
3.175,1.35994328828,0.130575716982,1.56938671039,-0.173771564117
3.208,1.41182840119,0.128722677235,1.59905345332,-0.0991975506355
3.242,1.4674195936,0.125016597741,1.6147394863,-0.0914236774212
